property,uri,kind,storage,availability,domain,range,label,source_tables,source_columns,derivation,derivation_note,domain_caveat,comment
hasBrand,http://mafest.ai/product#hasBrand,OP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b7,Brand,has brand|브랜드,PREF01N001,pd_abrv_nm,,,,"상품 → 브랜드 개체. pd_abrv_nm 선두 토큰에서 파생하며, 운용사 문자열 오염 55건(운용사 자리에 상품 전체 명칭이 들어간 행)을 교차검증·복구하는 수단이기도 하다."
hasClassDifferentiation,http://mafest.ai/product#hasClassDifferentiation,OP,rdb,derived-not-deployed,PublicFund,ClassDifferentiation,has class differentiation|클래스 구분,derived:fund_pub_dedup,mtco_itm_no,pure,build_fund_dedup.py ← data/csv 원본만,,펀드 → 단일/멀티클래스 개체. mtco_itm_no 그룹 크기에서 파생한다.
hasCollateralType,http://mafest.ai/product#hasCollateralType,OP,none,unavailable,Bond,CollateralType,has collateral type|담보 유형,PRBD01N001,BD_KND,,,,채권 → 담보 유형 개체. **현재 데이터에 담보·보증 분류축이 없어 대부분의 종목에 값을 넣을 수 없다.** 담보·보증 조건검색은 답변 불가로 처리한다.
hasCouponType,http://mafest.ai/product#hasCouponType,OP,rdb,raw,Bond,CouponType,has coupon type|이표 유형,PRBD01N001,BD_KND|SRFC_IRT,,,,채권 → 이표 유형 개체. SRFC_IRT=0은 결측이 아니라 무이표(할인채)를 뜻한다.
hasCreditRating,http://mafest.ai/product#hasCreditRating,OP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b26,CreditRating,has credit rating|신용등급 보유,PRBD01N001|derived:bond_kr_enriched,CRD_GRD|derived:bond_kr_enriched.crd_grd_norm,pure,build_bond_enrichment.py ← data/csv 원본만,,채권·발행사 → 신용등급 개체. 'AA- 이상' 조건은 연결된 개체의 fp:ratingRank <= 4로 판정한다. 원본 CRD_GRD는 41.6% 결측이므로 등급 미부여(국채 등)와 결측을 구분해 답한다.
hasCurrency,http://mafest.ai/product#hasCurrency,OP,graph,loaded,Product,Currency,has currency|표시통화,PRBD01N001|PREF02N001|PRFD01N001,CURR_CD|curr_cd|pd_trd_ccy,,,,"상품 → 통화 개체. 채권은 KRW 42,372/외화 22건, 펀드는 KRW/USD 2종, 해외ETF는 전량 USD다."
hasCustodian,http://mafest.ai/product#hasCustodian,OP,none,unavailable,PublicFund,Custodian,has custodian|수탁회사,PRFD01N001,trusc_xtn_itt_cd,,,,공모펀드 → 수탁(신탁)회사. 기관코드 18종이며 코드↔사명 매핑표 미확보 상태다.
hasDistributionType,http://mafest.ai/product#hasDistributionType,OP,none,unavailable,ETF,DistributionType,has distribution type|분배 유형,,,,,,ETF → 분배 유형 개체. **배당 컬럼 전량 무효**라 상품명 'TR' 토큰 추정 외에는 근거가 없다. '월배당 ETF' 질의는 답변 불가다.
hasFundType,http://mafest.ai/product#hasFundType,OP,graph,loaded,PublicFund,FundType,has fund type|펀드 유형,PRFD01N001,or_attr_desc,,,,펀드 → 유형 개체. or_attr_desc 11종을 매핑하며 '06'은 파생형으로 해석한다.
hasHolding,http://mafest.ai/product#hasHolding,OP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b12,Holding,has holding|편입관계 보유,,,,,fp:ETN은 편입종목 개념이 없어 domain에서 제외한다.,"상품 → 편입관계 노드(n-ary). 편입비중·기준일·근거문서를 달아야 하므로 상품→증권 직결 관계를 쓰지 않는다. **fp:ETN은 편입종목 개념이 없어 domain에서 제외**한다. 인스턴스는 국내ETF 47,016건이 적재되어 있고, 해외ETF·펀드 편입분은 외부 수집(SEC N-PORT·운용보고서) 대상으로 남아 있다."
hasInvestmentRegion,http://mafest.ai/product#hasInvestmentRegion,OP,graph,loaded,Product,InvestmentRegion,has investment region|투자지역,PREF01N001|PREF02N001|PRFD01N001,fd_ivst_rgn_desc|wu_inv_rgn,,,,상품 → 투자지역 개체. 해외ETF는 59종 국가 단위라 국가→지역 상위 매핑이 필요하다.
hasInvestorEligibility,http://mafest.ai/product#hasInvestorEligibility,OP,graph,loaded,PublicFund,InvestorEligibility,has investor eligibility|투자자 자격,PRFD01N001,prvo_pbff_desc,,,,펀드 → 공모/사모 개체. 사모 102행은 fp:PublicFund 적재에서 배제하되 이 축으로 판정 근거를 남긴다.
hasIssuanceMarket,http://mafest.ai/product#hasIssuanceMarket,OP,graph,loaded,Bond,IssuanceMarket,has issuance market|발행시장,PRBD01N001,PD_CTRY_CD,,,,"채권 → 발행시장 개체. PD_CTRY_CD 기준이며 사실상 전량 국내(KR 42,393)다."
hasIssuanceType,http://mafest.ai/product#hasIssuanceType,OP,none,unavailable,PublicFund,IssuanceType,has issuance type|설정 유형,,,,,,"펀드 → 설정 유형 개체. **현재 데이터로 값을 채울 수 없다**(fd_set_pcd 코드 의미 미확정, KOFIA 코드표 필요)."
hasIssuerCategory,http://mafest.ai/product#hasIssuerCategory,OP,none,unavailable,Issuer,IssuerCategory,has issuer category|발행사 업종 구분,,,,,,발행사 → 업종 구분 개체. **현재 데이터로 값을 채울 수 없다**(발행사명 문자열만 존재). 외부 기업 마스터 수집 전까지 인스턴스에 값을 부여하지 않는다.
hasLeverageType,http://mafest.ai/product#hasLeverageType,OP,graph,loaded,n262162eb5eeb41f2ba948dd5d654e824b4,LeverageType,has leverage type|레버리지 유형,PREF01N001,cu_lev_fector,,,,상품 → 레버리지 유형 개체. cu_lev_fector 배수값(1/2/-2/-1/3/-3/-0.5/1.5/-1.5)에서 매핑한다.
hasListingType,http://mafest.ai/product#hasListingType,OP,rdb,raw,PublicFund,ListingType,has listing type|상장 구분,PRFD01N001,ksd_itm_no,,,,펀드 → 상장 구분 개체. fp:sameVehicleAs로 ETF와 연결된 47종만 상장으로 확정 가능하고 나머지는 추정이다.
hasManagementStrategy,http://mafest.ai/product#hasManagementStrategy,OP,graph,loaded,n262162eb5eeb41f2ba948dd5d654e824b1,ManagementStrategy,has management strategy|운용전략,PREF01N001|derived:etf_kr_enriched,cu_strtegy|derived:etf_kr_enriched.replication,pure,build_etf_enrichment.py ← data/csv 원본만,,"상품 → 패시브/액티브 개체. 국내ETF는 cu_strtegy에서, 해외ETF는 cu_index_repl_mthd 결측 여부(결측 58.2% = 액티브·비추종)에서 추정한다."
hasMaturityClass,http://mafest.ai/product#hasMaturityClass,OP,graph,loaded,Bond,MaturityClass,has maturity class|만기 구분,derived:bond_kr_enriched,derived:bond_kr_enriched.maturity_bucket,pure,build_bond_enrichment.py ← data/csv 원본만,,"채권 → 만기 구분 개체. fp:maturityBucket(파생)에서 매핑한다. **만기경과 개체가 별도로 필요하다** — 파일명 날짜 기준 16,180건(38.2%)이 이미 만기가 지났기 때문이다."
hasMetricSnapshot,http://mafest.ai/product#hasMetricSnapshot,OP,rdb,derived-not-deployed,Product,MetricSnapshot,has metric snapshot|수치 스냅샷 보유,,,,,,상품 → 시점 가변 수치 노드. 기준일이 다른 수치를 한 답변에 섞을 때 각각의 fp:asOf를 함께 제시하기 위한 경로다.
hasRatingBand,http://mafest.ai/product#hasRatingBand,OP,graph,loaded,Bond,RatingBand,has rating band|신용등급 대역,PRBD01N001,CRD_GRD,,,,채권 → 등급 대역 개체(주최측 axis). 조건검색은 이 대역이 아니라 fp:hasCreditRating + fp:ratingRank로 판정한다.
hasRedemptionType,http://mafest.ai/product#hasRedemptionType,OP,none,unavailable,PublicFund,RedemptionType,has redemption type|환매 유형,,,,,,펀드 → 환매 유형 개체. **현재 데이터로 값을 채울 수 없다.** 개방형·폐쇄형 조건검색은 근거 부족으로 답변 불가다.
hasReplicationMethod,http://mafest.ai/product#hasReplicationMethod,OP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b29,ReplicationMethod,has replication method|복제방식,PREF01N001|PREF02N001|derived:etf_kr_enriched,cu_index_repl_mthd|cu_strtegy|derived:etf_kr_enriched.replication,pure,build_etf_enrichment.py ← data/csv 원본만,,상품 → 복제방식 개체. 국내ETF cu_strtegy의 'C' 409건은 전부 ETN이라 ETF 필터 후 자동 소거된다. 해외ETF cu_index_repl_mthd는 58.2% 결측이며 결측은 액티브·비추종 상품이다.
hasRisk,http://mafest.ai/product#hasRisk,OP,vector,pending-collection,n327921788c8b4f9196f55c429df2d4b2b18,Risk,has risk|위험요인 보유,,,,,,상품·기업·산업 → 위험요인. 반드시 fp:supportedBy 근거 문서를 동반해야 한다.
hasRiskGrade,http://mafest.ai/product#hasRiskGrade,OP,graph,loaded,Product,RiskGrade,has risk grade|투자위험등급,PRBD01N001|PREF01N001|PRFD01N001,PD_RISK_GCD|pd_risk_cd|zrin_fd_ivst_risk_gcd,,,해외ETF에는 위험등급 컬럼이 없다.,상품 → 위험등급 개체(1~6). 채권·국내ETF·공모펀드 세 도메인이 같은 서열이라 교차 비교가 가능하다. 해외ETF에는 위험등급 컬럼이 없다.
hasSaleInfo,http://mafest.ai/product#hasSaleInfo,DP,rdb,derived-not-deployed,Bond,http://www.w3.org/2001/XMLSchema#boolean,has sale info|판매정보 보유 여부,derived:bond_kr_enriched,derived:bond_kr_enriched.has_sale_info,pure,build_bond_enrichment.py ← data/csv 원본만,,"판매 관련 8컬럼이 모두 채워졌는지 여부(파생, 881건 Y). 8컬럼의 결측 패턴이 완전 이분법이라 개별 속성 8개 대신 이 불리언 1개로 축약했다."
hasShareClass,http://mafest.ai/product#hasShareClass,OP,rdb,raw,PublicFund,ShareClass,has share class|클래스 보유,PRFD01N001,mtco_itm_no|rptt_ksd_itm_no,,,,대표(모)펀드 → 종류별 클래스. 그룹핑 키는 fp:managerItemCode(mtco_itm_no)이며 '미래에셋코어테크증권자투자신탁(주식)'처럼 한 모펀드에 14클래스가 달리는 사례가 있다. 클래스 중복을 제거하지 않으면 순자산 합계가 8.54배 부풀려진다.
hasSubsidiary,http://mafest.ai/product#hasSubsidiary,OP,graph,loaded,Company,SubsidiaryRelation,has subsidiary|출자관계 보유,,,,,,모회사 → 출자관계 노드(n-ary). 지분율 기준이 관계마다 다르므로 전이성(owl:TransitiveProperty)은 선언하지 않는다. 손자회사 탐색은 다단계 질의로 처리한다.
hasTradingMarket,http://mafest.ai/product#hasTradingMarket,OP,graph,loaded,Bond,TradingMarket,has trading market|유통시장 구분,PRBD01N001,PD_EXG_MKT,,,,채권 → 장내·장외 개체. 원본 PD_EXG_MKT를 그대로 매핑한다.
hasUnderlyingScope,http://mafest.ai/product#hasUnderlyingScope,OP,none,unavailable,ETF,UnderlyingScope,has underlying scope|기초자산 범위,,,,,,"ETF → 기초자산 범위 개체. **현재 데이터로 값을 채울 수 없다**(기초지수 95.2% 결측, 섹터명 전량 결측). 간이투자설명서 수집 이후 부여한다."
hedgeType,http://mafest.ai/product#hedgeType,DP,rdb,derived-not-deployed,ETF,http://www.w3.org/2001/XMLSchema#string,hedge type|환헤지 유형,derived:etf_kr_enriched,derived:etf_kr_enriched.hedge_type,pure,build_etf_enrichment.py ← data/csv 원본만,,환헤지·환노출 구분(LSEG 보강). 원본에는 대응 컬럼이 없어 외부 보완값이며 fp:sourceId로 출처를 함께 표시한다.
holdingSecurity,http://mafest.ai/product#holdingSecurity,OP,graph,loaded,Holding,Security,holding security|편입증권,,,,,,편입관계 노드 → 편입된 증권. fp:hasHolding·fp:weight·fp:asOf와 함께 하나의 편입 사실을 구성한다.
indexName,http://mafest.ai/product#indexName,DP,rdb,raw,Index,http://www.w3.org/2001/XMLSchema#string,index name|지수명,PREF01N001|PREF02N001|PRFD01N001,bmrk_nm|cu_base_index,,,,"지수·벤치마크 명칭. 해외ETF cu_base_index의 'Index is not provided by Management Company'(1,984건)·'Index is not available on Lipper Database'(721건)는 **값이 아니라 sentinel**이므로 결측으로 처리하고 지수 노드를 만들지 않는다."
indexTrackingUnavailable,http://mafest.ai/product#indexTrackingUnavailable,DP,rdb,raw,ETF,http://www.w3.org/2001/XMLSchema#boolean,index unavailable|기초지수 미제공 여부,PREF02N001,cu_base_index,,,,"cu_base_index 값이 sentinel 문자열('Index is not provided by Management Company' 1,984건 / 'Index is not available on Lipper Database' 721건)인 경우 true. **명목 결측은 8건뿐이지만 sentinel을 결측으로 처리하면 실질 결측이 48.1%**다. 이 플래그가 있어야 '기초지수를 알 수 없음'과 '지수를 추종하지 않음'을 구분해 답할 수 있다."
internalCode,http://mafest.ai/product#internalCode,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b10,http://www.w3.org/2001/XMLSchema#string,internal short code|사내 단축코드,PREF01N001,pd_itm_no_ma,,,,미래에셋 사내 코드(A305080·Q760014 형식). 앞 한 글자를 뗀 값이 LSEG 메타 조인키(lseg_key)라 외부 보완 데이터 결합의 실무 키다.
isInverse,http://mafest.ai/product#isInverse,DP,rdb,raw,ETF,http://www.w3.org/2001/XMLSchema#boolean,is inverse|인버스·숏 여부,PREF02N001,cu_inverse_short_yn,,,,"인버스·숏 상품 플래그(Y 171건, 결측=일반형). cu_lev_fector가 전량 결측이라 **해외ETF 인버스 질의의 유일한 정형축**이다. 배수(2X·3X)는 상품명·전략 텍스트 파싱으로만 추정된다."
isSellable,http://mafest.ai/product#isSellable,DP,rdb,derived-not-deployed,Bond,http://www.w3.org/2001/XMLSchema#boolean,is sellable|현재 매수 가능 여부,derived:bond_kr_enriched,derived:bond_kr_enriched.is_sellable,pure,build_bond_enrichment.py ← data/csv 원본만,,"판매정보 보유 ∧ 매수가능수량>0 ∧ 원화 ∧ 잔존일수>0 을 모두 만족하는 종목(파생, **254건**). 만기 경과분 38.2%가 섞인 아카이브에서 '지금 살 수 있는 채권'을 골라내는 유일한 축이다."
isinCode,http://mafest.ai/product#isinCode,DP,graph,loaded,n6d8cda17fbb740fcbe8ead3b4f379c40b1,http://www.w3.org/2001/XMLSchema#string,ISIN code|ISIN 코드,PREF02N001,pd_isin_cd,,,,"국제증권식별번호. 외부 holdings 조인의 표준키다. **중복 50종이 존재하므로 유일키(owl:InverseFunctionalProperty)로 선언하지 않는다.** 티커 변경 후 구 레코드가 남은 잔재이며, 상품 URI는 반드시 fp:productCode(pd_itm_no)로 구성한다."
issueDate,http://mafest.ai/product#issueDate,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#date,issue date|발행일,PRBD01N001,ISU_DT,,,,YYYYMMDD 원본. **sentinel '0' 336건을 결측으로 제외한 뒤 파싱**한다.
