id,type,evaluation_type,answerability,product_category,difficulty,question,required_evidence,expected_behavior,data_status,golden_answer,evidence,external_needed,note_vs_0711
11,조건검색_채권신용등급,PASS_OR_FAIL,답변가능,채권,하,"최신 갱신일 기준 매수가능수량이 0보다 큰 원화채권 중 신용등급이 AA- 이상인 종목을 알려줘. 상품명, 발행사, 원등급, 만기일, 매수수익률, 매수가능수량과 기준일을 제시해줘.",통화; 매수가능수량; 원등급; 등급 서열; 만기일; 매수수익률; 기준일,ANSWER,정의변경,"주최측이 buyable_quantity를 무효 처리했으므로 '매수가능수량>0' 조건은 적용하지 않는다. 구매가능(만기 미도래)·원화·AA- 이상 = 15,992행 / 고유 15,806종목. 등급 분포 AAA 8,703, AA- 3,512, AA+ 2,537, AA0 1,240. 예시: 중소벤처기업진흥채권 703(사)(AAA, 만기 20300910, 민평 4.233); 한국도로공사고속도로건설채권 946(AAA, 만기 20350508, 민평 4.494); 한국도로공사고속도로건설채권1001(AAA, 만기 20310415, 민평 4.346); 한국도로공사고속도로건설채권1012(AAA, 만기 20310724, 민평 4.376); 한국전력공사채권1108(AAA, 만기 20311216, 민평 4.476)",bond.mat_dt·curr_cd·crd_grd(+등급서열)·applied_yield / info_base_dt=20260821. 매수수익률(buy_yield)은 유효 634행뿐이라 민평수익률(applied_yield)로 대체 제시,,★ 구 정의(buyable_quantity>0)로는 296행/AA-이상 33행. 새 정의로 모집단이 두 자릿수 배 커짐
12,조건검색_국내ETF판매연금,PASS_OR_FAIL,답변가능,국내ETF,하,"현재 판매 중이고 거래정지가 아니며 연금거래가 가능한 국내 ETF를 찾아줘. 상품명, 연금 위험구분, 상품 위험등급, 순자산과 데이터 기준일을 근거로 제시해줘.",판매 여부; 거래정지 여부; 연금거래 여부; 연금 위험구분; 위험등급; 순자산 기준일,ANSWER,산출가능,"1,021종목. 연금위험구분 위험자산 803, 안전자산 218 / 위험등급 높은위험(2등급) 631, 매우높은위험(1등급) 126, 낮은위험(5등급) 96, 보통위험(4등급) 80 / 순자산 합계 423.55조원 · 최대 25.47조원",etf_kr.pd_grp_no='ETF'·pd_sale_yn·pd_tr_yn·pd_pen_tr_yn·pd_lste_dt·pd_pen_risk_nm·pd_risk_nm·pd_net_tamt / 순자산 as_of=20260821,,pd_tr_yn은 0=정상인 역방향 플래그. ETN 545건 제외 필수
13,조건검색_채권복합조건,PASS_OR_FAIL,답변가능,채권,중,"매수 가능한 회사채 중 AA- 이상이고 잔존기간이 3년 이하인 종목을 매수수익률 순으로 상위 10개 알려줘. 등급 서열 규칙, 잔존일수, 수익률, 매수가능수량을 함께 제시해줘.",채권 대분류; 매수가능수량; 원등급과 서열; 잔존일수; 매수수익률; 기준일,ANSWER,정의변경,"구매가능(만기 미도래)·회사채·AA- 이상·잔존 3년 이하 = 8,189종목. 민평수익률 상위 10: 뉴젠에너지제3호1(사모/강제)(AA0, 잔존 728일, 7.318%); 스마트케이제삼차1-1(사모)(AA0, 잔존 486일, 6.989%); 블루스네이크제육차1-2(사모)(AA+, 잔존 859일, 6.972%); 엘씨글로리제이차4(사모/강제)(AA-, 잔존 577일, 6.902%); 뉴에스에프제이차 1-1(사모)(AA0, 잔존 486일, 6.825%); 플로우제일차1-2(사모)(AA+, 잔존 868일, 6.602%); 뉴스텔라제십팔차3-4(사모)(AA+, 잔존 1032일, 6.443%); 뉴스텔라제십팔차3-2(사모)(AA+, 잔존 1025일, 6.286%); 그린이노베이션제이차 1(사모/강제)(AA-, 잔존 675일, 6.262%); 레드홀스제오차1-2(사모)(AA+, 잔존 1091일, 6.024%)",bond.std_pd_mcls_nm·crd_grd(등급서열 AA-=3 이하)·mat_dt(잔존일 재계산)·applied_yield / info_base_dt=20260821,,'매수 가능'을 buyable_quantity가 아닌 만기 미도래로 해석. 매수수익률 대신 민평수익률 사용(전자는 97.1% 결측). ⚠️ 주최측 정의를 그대로 적용하면 사모채(bd_ofr_tcd='사모')도 구매가능에 포함되어 상위 수익률을 점유한다 — 개인 매수 가능성과 다르므로 답변에 공모/사모 구분을 병기하는 편이 안전하다
14,조건검색_채권담보등급,PASS_OR_FAIL,답변가능,채권,중,"담보부 또는 보증채 중 AAA 등급인 종목을 발행잔액 순으로 정리해줘. 상품번호, 발행사, 담보 유형, 원신용등급, 발행잔액과 기준일을 근거로 붙여줘.",상품번호; 발행사; 담보 유형; 원신용등급; 발행잔액; 기준일,ANSWER,부분산출,"담보/보증 근거 컬럼이 없어 bd_knd(유동화회사채·MBS·유동화수익증권)와 상품명 '보증' 토큰으로 근사. AAA 해당 2,858종목. 발행잔액 상위: 에이블이목유동화전문1(콜/강제)(에이블이목유동화전문(유), 유동화회사채, 9,180억원); 한국주택금융공사 MBS2021-25(1-4)(사)(콜)(한국주택금융공사, MBS, 6,200억원); 한국주택금융공사 MBS2021-24(1-4)(사)(콜)(한국주택금융공사, MBS, 6,000억원); 한국주택금융공사 MBS2021-23(1-4)(사)(콜)(한국주택금융공사, MBS, 5,900억원); 한국주택금융공사 MBS2020-4(1-5)(사)(콜)(한국주택금융공사, MBS, 5,500억원); 한국주택금융공사 MBS2021-20(1-4)(사)(콜)(한국주택금융공사, MBS, 5,100억원); 한국주택금융공사 MBS2020-5(1-5)(사)(콜)(한국주택금융공사, MBS, 4,800억원); 한국주택금융공사 MBS2022-1(1-4)(사)(콜)(한국주택금융공사, MBS, 4,400억원)",bond.bd_knd·pd_nm·crd_grd·isu_bal_amt·pd_pbcm / info_base_dt=20260821,,담보 유형 전용 컬럼은 08-24에도 없음. 답변에 '분류 근거는 채권종류+상품명 토큰'임을 명시해야 함
15,조건검색_국내ETF복합조건,PASS_OR_FAIL,답변가능,국내ETF,중,"해외주식에 투자하는 패시브·실물복제·정방향 ETF 중 순자산 1조 원 이상인 상품을 1년 수익률 순으로 5개 알려줘. 보수, 기초지수, AUM 및 수익률 기준일을 제시해줘.",자산·지역·전략·복제·레버리지 분류; AUM; 1년 수익률; 보수; 기준일,ANSWER,산출가능,"조건 충족 22종목. 1년수익률 상위 5: PLUS 글로벌HBM반도체(1Y 409.47%, AUM 1.70조원, 지수 iSelect Global HBM Semiconductor, 보수 0.5%(LSEG)); ACE 글로벌반도체TOP4 Plus(1Y 154.61%, AUM 1.55조원, 지수 Solactive Global Semiconductor TOP 4 Plus CR USD, 보수 0.45%(LSEG)); TIGER 미국필라델피아반도체나스닥(1Y 107.05%, AUM 5.72조원, 지수 Philadelphia SE Semiconductors CR, 보수 0.49%(LSEG)); KODEX 미국반도체(1Y 92.84%, AUM 1.25조원, 지수 MVIS US Listed Semiconductor 25 CR USD, 보수 0.09%(LSEG)); TIGER 미국필라델피아AI반도체나스닥(1Y 76.06%, AUM 1.07조원, 지수 PHLX US AI Semiconductor USD, 보수 0.49%(LSEG))",etf_kr.wu_inv_ast_type·wu_inv_rgn·cu_strtegy·cu_lev_fector·pd_net_tamt·du_er_1y·ref_base_index·cu_charge_rt(+LSEG ter) / AUM·수익률 as_of=20260821 · 지수 as_of=20260822,,cu_strtegy 한 컬럼이 전략·복제방식을 겸하므로 '실물복제'='패시브+실물'로 해석. 정방향은 cu_lev_fector='1'. 총보수는 82.4% 결측이라 LSEG ter 병행
16,조건검색_국내ETF액티브테마,PASS_OR_FAIL,답변가능,국내ETF,중,"섹터·테마형 액티브 ETF 중 순자산 5천억 원 이상인 상품을 찾아 6개월 수익률, 총보수, 위험등급을 비교해줘. 분류 경로와 각 수치의 기준일을 붙여줘.",전략·기초자산범위 분류; AUM; 6개월 수익률; 보수; 위험등급; 기준일,ANSWER,부분산출,"액티브 ETF 358종 중 자산군=주식이고 LSEG 테마가 부여된(=섹터·테마형) 상품이 147종, 그중 AUM 5천억 이상은 14종목이다. TIME 미국나스닥100액티브[IT섹터/나스닥100](AUM 2.42조원, 6M 23.09%, 보수 0.8%(LSEG), 위험 매우높은위험(1등급)); TIGER 배당커버드콜액티브[고배당/구조화](AUM 2.38조원, 6M 15.92%, 보수 0.5%(LSEG), 위험 높은위험(2등급)); TIME 글로벌AI인공지능액티브[AI/IT섹터](AUM 2.11조원, 6M 42.16%, 보수 0.8%(LSEG), 위험 높은위험(2등급)); KODEX 미국배당커버드콜액티브[고배당/구조화](AUM 1.69조원, 6M -1.2%, 보수 0.19%(LSEG), 위험 다소높은위험(3등급)); KODEX 로봇액티브[IT섹터/로봇](AUM 1.11조원, 6M -10.32%, 보수 0.5%(LSEG), 위험 높은위험(2등급)); KODEX 200액티브[KOSPI200/대형주](AUM 1.08조원, 6M 27.02%, 보수 0.15%(LSEG), 위험 높은위험(2등급)); TIGER 반도체TOP10커버드콜액티브[IT섹터/K-반도체](AUM 8,247억원, 6M 값없음%, 보수 0.45%(LSEG), 위험 높은위험(2등급)); TIME Korea플러스배당액티브[고배당/액티브](AUM 7,846억원, 6M -2.78%, 보수 0.8%(LSEG), 위험 높은위험(2등급))",etf_kr.cu_strtegy='액티브'·wu_inv_ast_type·pd_net_tamt·du_er_6m·cu_charge_rt(+LSEG ter)·pd_risk_nm + LSEG themes / as_of=20260821,'섹터·테마형' 축(axis_underlyingScope)이 주최측 데이터에 없어 LSEG themes로 대체(커버율 89.0%). LSEG 미매칭 ETF 136종은 판정 불가,⚠️ cu_strtegy='액티브'만으로 거르면 머니마켓·CD금리 액티브가 상위를 점유해 '섹터·테마'와 무관한 답이 나간다 — 자산군·테마 조건을 반드시 함께 걸어야 한다
17,조건검색_해외ETF저보수대형,PASS_OR_FAIL,답변가능,해외ETF,중,"미국 주식형 ETF 중 AUM이 1천억 달러 이상이고 총보수가 0.05% 이하인 상품을 찾아줘. 상품명, 티커, 기초지수, 복제방식, AUM, 보수와 통화 단위를 제시해줘.",자산·지역; 티커; 기초지수; 복제방식; AUM; 보수; 통화; 기준일,ANSWER,산출가능,"11종목: Vanguard 500 Index Fund;ETF(VOO, 지수 S&P 500 TR, 복제 Full, AUM 997.4십억USD, 보수 0.02%); iShares Core S&P 500 ETF(IVV, 지수 S&P 500 TR, 복제 Optimized, AUM 889.4십억USD, 보수 0.03%); State Street SPDR S&P 500 ETF Trust(SPY, 지수 S&P 500 TR, 복제 Full, AUM 820.1십억USD, 보수 0.0492%); Vanguard Morningstar Total Stock Mkt Ix Fd;ETF(VTI, 지수 Morningstar US Total Stock Market TR USD, 복제 Optimized, AUM 666.9십억USD, 보수 0.02%); Vanguard Morningstar Growth Index Fund;ETF(VUG, 지수 Morningstar US Large Cap Growth TR USD, 복제 Full, AUM 219.5십억USD, 보수 0.03%); Vanguard Morningstar Value Index Fund;ETF(VTV, 지수 Morningstar US Large Cap Value TR USD, 복제 Full, AUM 187.8십억USD, 보수 0.03%); State Street SPDR Portfolio S&P 500 ETF(SPYM.K, 지수 S&P 500 TR, 복제 Optimized, AUM 170.6십억USD, 보수 0.02%); iShares Core S&P Mid-Cap ETF(IJH, 지수 S&P Mid Cap 400 TR, 복제 Optimized, AUM 125.2십억USD, 보수 0.05%); State Street Technology Select Sector SPDR ETF(XLK, 지수 Technology Select Sector TR, 복제 Optimized, AUM 119.7십억USD, 보수 0.03%); Vanguard Dividend Appreciation Index Fund;ETF(VIG, 지수 S&P U.S. Dividend Growers Index USD, 복제 Full, AUM 111.4십억USD, 보수 0.04%)",etf_gl.wu_inv_ast_type·wu_inv_rgn·du_last_aum·cu_charge_rt·cu_base_index·cu_index_repl_mthd / 통화 단위 USD(pd_trd_ccy 전 행 USD) · as_of=20260821,,du_last_aum의 통화 단위 표기가 스키마에 없다 — USD 가정 시 답변에 가정을 명시해야 함
18,조건검색_해외채권ETF,PASS_OR_FAIL,답변가능,해외ETF,중,"해외 채권 ETF 중 총보수가 0.10% 이하인 상품을 AUM 순으로 10개 정리해줘. 기초지수, 투자지역, 복제방식, 현재가·거래량 기준일을 근거로 붙여줘.",자산 유형; 보수; AUM; 기초지수; 투자지역; 복제방식; 가격·거래량 기준일,ANSWER,산출가능,"조건 충족 290종목. AUM 상위 10: Vanguard Total Bond Market Index Fund;ETF(보수 0.02%, AUM 160.9십억USD, 지역 United States of America); iShares Core US Aggregate Bond ETF(보수 0.03%, AUM 138.6십억USD, 지역 United States of America); iShares 0-3 Month Treasury Bond ETF(보수 0.09%, AUM 104.2십억USD, 지역 United States of America); Vanguard Total International Bond Index Fund;ETF(보수 0.06%, AUM 82.7십억USD, 지역 Global Ex US); Vanguard Tax-Exempt Bond Index Fund;ETF(보수 0.02%, AUM 45.8십억USD, 지역 United States of America); Vanguard Short-Term Bond Index Fund;ETF(보수 0.02%, AUM 45.6십억USD, 지역 United States of America); iShares National Muni Bond ETF(보수 0.05%, AUM 45.5십억USD, 지역 United States of America); Vanguard Short-Term Corporate Bond Idx Fd;ETF(보수 0.02%, AUM 45.0십억USD, 지역 United States of America); iShares US Treasury Bond ETF(보수 0.05%, AUM 44.3십억USD, 지역 United States of America); iShares Core Universal USD Bond ETF(보수 0.05%, AUM 43.6십억USD, 지역 United States of America)",etf_gl.wu_inv_ast_type='Bond'·cu_charge_rt·du_last_aum·cu_base_index·wu_inv_rgn·cu_index_repl_mthd / 가격·거래량 as_of=20260821(종가) / 20260822(갱신),,기초지수는 실질 결측 48.6%(sentinel 문자열) — 결측 종목은 '미제공'으로 명시
19,조건검색_공모펀드수익률,PASS_OR_FAIL,답변가능,공모펀드,중,"판매 중인 공모펀드 가운데 1년 수익률이 양수이고 순자산이 1천억 원 이상인 상품을 수익률 순으로 알려줘. 환헤지 여부, 투자지역, 위험등급과 기준일을 함께 제시해줘.",공모·판매 여부; 1년 수익률; 순자산; 환헤지; 투자지역; 위험등급; 기준일,ANSWER,산출가능,"조건 충족 393종목(클래스 단위). 수익률 상위: 한화2.2배레버리지인덱스증권투자신탁(주식-파생재간접형) 종류Ce(1Y 387.66%, 순자산 1,391억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); NH-Amundi코리아2배레버리지증권투자신탁[주식-파생형]Class Ae(1Y 362.53%, 순자산 3,052억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); NH-Amundi코리아2배레버리지증권투자신탁[주식-파생형]Class A(1Y 362.05%, 순자산 2,301억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); NH-Amundi코리아2배레버리지증권투자신탁[주식-파생형]Class Ce(1Y 360.85%, 순자산 7,333억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); NH-Amundi 1.5배레버리지인덱스증권투자신탁[주식-파생형]Class A(1Y 256.55%, 순자산 1,703억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); 하나IT코리아 증권자투자신탁(제1호)[주식] 종류 A-e(1Y 189.83%, 순자산 1,410억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); 하나IT코리아 증권자투자신탁(제1호)[주식] 종류 C-e(1Y 188.97%, 순자산 1,596억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험); 하나IT코리아 증권자투자신탁(제1호)[주식] 종류 A(1Y 188.89%, 순자산 1,540억원, 지역 국내, 환헤지 미상, 위험 매우 높은 위험)",fund.prvo_pbff_desc='공모'·sale_yn·thco_sale_yn·fd_yr1_ern_r·fd_nast_suma·exchdg_yn·fd_ivst_rgn_desc·zrin_fd_ivst_risk_grd_nm / as_of=20260821,,"★ 사모 8,960건 제외 필수. exchdg_yn 결측 70.5%라 환헤지는 상당수 '미상'. 클래스 중복이 있으므로 모펀드 단위 집계가 필요하면 rptt_ksd_itm_no로 묶어야 함"
20,조건검색_반도체상품통합,PASS_OR_FAIL,답변가능,국내ETF·공모펀드,상,"국내 반도체에 투자하는 ETF와 공모펀드를 통합 검색해 순자산 상위 상품을 비교해줘. 단순히 이름에 반도체가 있다는 이유만으로 확정하지 말고, 기초지수·전략·편입내역 중 확인된 근거와 AUM·수익률 기준일을 제시해줘.",상품 식별자; 기초지수·전략·편입내역 근거; AUM·수익률 기준일; 클래스 중복 제거,ANSWER,부분산출,"명칭 기준 후보: 국내ETF 61종 / 공모펀드 64클래스(대표종목번호 dedup 후 11모펀드). ETF 순자산 상위: TIGER 반도체TOP10(9.76조원, 지수 FnGuide Semiconductor Top10); SOL AI반도체TOP2플러스(5.74조원, 지수 FnGuide AI Semiconductor TOP2 Plus CR); TIGER 미국필라델피아반도체나스닥(5.72조원, 지수 Philadelphia SE Semiconductors CR); KODEX 반도체(5.60조원, 지수 KRX Semiconductor); KODEX AI반도체TOP2플러스(4.06조원, 지수 FnGuide AI Semiconductor TOP2+) / 펀드 상위: 유리필라델피아반도체인덱스증권자투자신탁UH[주식] Class C-P1e(3,391억원); 한국투자글로벌AI&반도체TOP10증권자투자신탁UH(주식)(C-Re)(2,869억원); 삼성글로벌반도체증권자투자신탁UH[주식]_Cpe(퇴직)(2,527억원)",etf_kr.pd_abrv_nm·ref_base_index·pd_net_tamt / fund.itm_nm·fd_nast_suma·rptt_ksd_itm_no / as_of=20260821,"문항이 '이름에 반도체가 있다는 이유만으로 확정하지 말라'고 명시. 기초지수명(ref_base_index)까지는 주최측 데이터로 확인되나 **편입내역 근거는 외부 수집 필요** (국내ETF PDF/포트폴리오, 펀드 자산운용보고서)",ref_base_index 신설로 '기초지수 근거'는 확보됨. 편입내역 근거만 외부 의존. ⚠️ 클래스 dedup 시 대표종목번호 sentinel을 '제외'하면 해당 모펀드가 통째로 사라진다 — itm_no로 대체할 것
